# Dados Processamento
1	55	66	28	54
2	44	62	6	46
3	43	20	5	32
4	38	20	5	30
5	39	15	4	16
6	43	13	35	13
7	37	14	5	13
8	34	13	3	28
9	34	14	3	13
10	48	13	3	13
11	16	11	12	12
12	24	12	10	17
13	18	12	6	15
14	23	11	11	23
15	20	10	3	13
16	11	13	3	13
17	10	10	4	12
18	10	12	4	15
19	10	11	4	18
20	11	12	2	16
21	10	10	7	15
22	9	12	4	17
23	9	13	15	22
24	9	13	2	12
25	14	12	8	16
26	12	12	3	11
27	14	12	4	24
28	26	12	3	11
29	11	11	3	11
30	16	10	3	10
31	9	10	11	17
32	9	11	12	14
33	11	19	3	12
34	12	15	15	17
35	11	11	16	20
36	19	11	5	12
37	10	15	2	11
38	8	10	5	11
39	13	11	3	12
40	12	13	3	17
41	17	19	2	14
42	14	29	2	10
43	10	12	2	11
44	11	9	3	15
45	15	10	11	10
46	10	9	20	10
47	10	16	2	17
48	17	11	3	14
49	14	17	3	11
50	11	11	3	10
51	10	14	2	9
52	9	20	3	10
53	10	17	3	9
54	9	11	8	27
55	27	9	3	16
56	16	10	2	9
57	9	11	3	15
58	15	10	2	11
59	11	11	2	9
60	9	9	7	11
61	11	15	12	16
62	16	19	3	14
63	14	9	12	11
64	11	14	3	11
65	11	8	2	10
66	10	11	2	12
67	12	9	2	14
68	14	12	3	16
69	16	9	11	11
70	11	9	2	10
71	10	18	3	10
72	10	22	3	14
73	14	10	3	10
74	10	9	3	9
75	9	10	3	8
76	8	9	2	10
77	10	9	3	13
78	13	9	3	10
79	10	14	4	10
80	10	12	3	9
81	14	14	2	9
82	26	26	2	8
83	11	11	3	13
84	16	16	2	9
85	9	9	4	13
86	9	9	3	14
87	11	11	3	9
88	12	12	3	9
89	11	11	2	10
90	19	19	3	14
91	10	10	2	9
92	8	8	2	11
93	13	13	2	10
94	15	15	2	15
95	12	12	4	15
96	9	9	11	19
97	16	16	2	10
98	19	19	3	10
99	10	10	3	9
100	10	10	3	9
